k,n,degrees_list,hodge_numbers
2,5,{8, 7, 2},{36233, 317913, 36233}
2,5,{8, 7, 3},{65703, 538763, 65703}
2,5,{8, 7, 4},{105449, 819449, 105449}
2,5,{8, 7, 5},{157851, 1177751, 157851}
2,5,{8, 7, 6},{225569, 1634529, 225569}
2,5,{8, 7, 7},{311543, 2213723, 311543}
2,5,{8, 8, 1},{21665, 200865, 21665}
2,5,{8, 8, 2},{51793, 445553, 51793}
2,5,{8, 8, 3},{92625, 748145, 92625}
2,5,{8, 8, 4},{146721, 1126241, 146721}
2,5,{8, 8, 5},{216961, 1600961, 216961}
2,5,{8, 8, 6},{306545, 2196945, 306545}
2,5,{8, 8, 7},{418993, 2942353, 418993}
2,5,{8, 8, 8},{558145, 3868865, 558145}
2,5,{9, 1, 1},{658, 11098, 658}
2,5,{9, 2, 1},{1744, 25114, 1744}
2,5,{9, 2, 2},{4525, 56785, 4525}
2,5,{9, 3, 1},{3439, 43354, 3439}
2,5,{9, 3, 2},{8749, 97849, 8749}
2,5,{9, 3, 3},{16606, 168076, 16606}
2,5,{9, 4, 1},{5968, 67618, 5968}
2,5,{9, 4, 2},{14911, 152131, 14911}
2,5,{9, 4, 3},{27820, 260110, 27820}
2,5,{9, 4, 4},{45865, 400105, 45865}
2,5,{9, 5, 1},{9601, 100201, 9601}
2,5,{9, 5, 2},{23596, 224446, 23596}
2,5,{9, 5, 3},{43336, 381511, 43336}
2,5,{9, 5, 4},{70396, 582646, 70396}
2,5,{9, 5, 5},{106576, 841576, 106576}
2,5,{9, 6, 1},{14653, 143893, 14653}
2,5,{9, 6, 2},{35479, 320599, 35479}
2,5,{9, 6, 3},{64234, 541324, 64234}
2,5,{9, 6, 4},{102943, 820243, 102943}
2,5,{9, 6, 5},{153901, 1174501, 153901}
2,5,{9, 6, 6},{219673, 1624213, 219673}
2,5,{9, 7, 1},{21484, 201979, 21484}
2,5,{9, 7, 2},{51325, 447385, 51325}
2,5,{9, 7, 3},{91729, 750079, 91729}
2,5,{9, 7, 4},{145216, 1127386, 145216}
2,5,{9, 7, 5},{214621, 1600096, 214621}
2,5,{9, 7, 6},{303094, 2192464, 303094}
2,5,{9, 7, 7},{414100, 2932210, 414100}
2,5,{9, 8, 1},{30499, 278239, 30499}
2,5,{9, 8, 2},{71989, 612589, 71989}
2,5,{9, 8, 3},{127171, 1019791, 127171}
2,5,{9, 8, 4},{199105, 1520545, 199105}
2,5,{9, 8, 5},{291211, 2139511, 291211}
2,5,{9, 8, 6},{407269, 2905309, 407269}
2,5,{9, 8, 7},{551419, 3850519, 551419}
2,5,{9, 8, 8},{728161, 5011681, 728161}
2,5,{9, 9, 1},{42148, 376948, 42148}
2,5,{9, 9, 2},{98416, 824986, 98416}
2,5,{9, 9, 3},{172045, 1363960, 172045}
2,5,{9, 9, 4},{266680, 2018170, 266680}
2,5,{9, 9, 5},{386371, 2816371, 386371}
2,5,{9, 9, 6},{535573, 3791773, 535573}
2,5,{9, 9, 7},{719146, 4982041, 719146}
2,5,{9, 9, 8},{942355, 6429295, 942355}
2,5,{9, 9, 9},{1210870, 8180110, 1210870}
2,5,{10, 1, 1},{1086, 17436, 1086}
2,5,{10, 2, 1},{2781, 38881, 2781}
2,5,{10, 2, 2},{7006, 86656, 7006}
2,5,{10, 3, 1},{5311, 65911, 5311}
2,5,{10, 3, 2},{13176, 146726, 13176}
2,5,{10, 3, 3},{24421, 247921, 24421}
2,5,{10, 4, 1},{8951, 100651, 8951}
2,5,{10, 4, 2},{21891, 223591, 21891}
2,5,{10, 4, 3},{40021, 376621, 40021}
2,5,{10, 4, 4},{64741, 569741, 64741}
2,5,{10, 5, 1},{14026, 145776, 14026}
2,5,{10, 5, 2},{33851, 322851, 33851}
2,5,{10, 5, 3},{61101, 541601, 61101}
2,5,{10, 5, 4},{97651, 815151, 97651}
2,5,{10, 5, 5},{145626, 1159376, 145626}
2,5,{10, 6, 1},{20911, 204511, 20911}
2,5,{10, 6, 2},{49856, 451206, 49856}
2,5,{10, 6, 3},{88936, 753286, 88936}
2,5,{10, 6, 4},{140551, 1127251, 140551}
2,5,{10, 6, 5},{207401, 1592901, 207401}
2,5,{10, 6, 6},{292486, 2173336, 292486}
2,5,{10, 7, 1},{30031, 280631, 30031}
2,5,{10, 7, 2},{70806, 616456, 70806}
2,5,{10, 7, 3},{124951, 1023751, 124951}
2,5,{10, 7, 4},{195441, 1522641, 195441}
2,5,{10, 7, 5},{285601, 2137101, 285601}
2,5,{10, 7, 6},{399106, 2894956, 399106}
2,5,{10, 7, 7},{539981, 3827881, 539981}
2,5,{10, 8, 1},{41861, 378461, 41861}
2,5,{10, 8, 2},{97701, 827501, 97701}
2,5,{10, 8, 3},{170721, 1366721, 170721}
2,5,{10, 8, 4},{264521, 2020121, 264521}
2,5,{10, 8, 5},{383101, 2816101, 383101}
2,5,{10, 8, 6},{530861, 3787461, 530861}
2,5,{10, 8, 7},{712601, 4971401, 712601}
2,5,{10, 8, 8},{933521, 6409521, 933521}
2,5,{10, 9, 1},{56926, 502876, 56926}
2,5,{10, 9, 2},{131641, 1094341, 131641}
2,5,{10, 9, 3},{227971, 1797571, 227971}
2,5,{10, 9, 4},{350191, 2640691, 350191}
2,5,{10, 9, 5},{503026, 3656776, 503026}
2,5,{10, 9, 6},{691651, 4883851, 691651}
2,5,{10, 9, 7},{921691, 6364891, 921691}
2,5,{10, 9, 8},{1199221, 8147821, 1199221}
2,5,{10, 9, 9},{1530766, 10285516, 1530766}
2,5,{10, 10, 1},{75801, 659301, 75801}
2,5,{10, 10, 2},{173826, 1428076, 173826}
2,5,{10, 10, 3},{298576, 2333326, 298576}
2,5,{10, 10, 4},{455051, 3407551, 455051}
2,5,{10, 10, 5},{648751, 4688751, 648751}
2,5,{10, 10, 6},{885676, 6220426, 885676}
2,5,{10, 10, 7},{1172326, 8051576, 1172326}
2,5,{10, 10, 8},{1515701, 10236701, 1515701}
2,5,{10, 10, 9},{1923301, 12835801, 1923301}
2,5,{10, 10, 10},{2403126, 15914376, 2403126}
2,6,{1},{0, 0, 0, 0, 0, 0, 0}
2,6,{2},{0, 0, 1, 69, 1, 0, 0}
2,6,{3},{0, 1, 455, 5004, 455, 1, 0}
2,6,{4},{0, 105, 11550, 83223, 11550, 105, 0}
2,6,{5},{0, 1764, 112294, 669798, 112294, 1764, 0}
2,6,{6},{1, 13824, 654857, 3509268, 654857, 13824, 1}
2,6,{7},{15, 70386, 2769468, 13852071, 2769468, 70386, 15}
2,6,{8},{105, 270963, 9385264, 44737098, 9385264, 270963, 105}
2,6,{9},{490, 856870, 27042590, 124411538, 27042590, 856870, 490}
2,6,{10},{1764, 2341242, 68832351, 308157849, 68832351, 2341242, 1764}
2,6,{1, 1},{0, 0, 0, 2, 0, 0, 0}
2,6,{2, 1},{0, 0, 16, 110, 16, 0, 0}
2,6,{2, 2},{0, 2, 239, 956, 239, 2, 0}
2,6,{3, 1},{0, 14, 1001, 3432, 1001, 14, 0}
2,6,{3, 2},{0, 119, 4282, 12620, 4282, 119, 0}
2,6,{3, 3},{1, 941, 21421, 56100, 21421, 941, 1}
2,6,{4, 1},{0, 386, 12943, 36596, 12943, 386, 0}
2,6,{4, 2},{1, 1727, 40440, 105142, 40440, 1727, 1}
2,6,{4, 3},{15, 6536, 115748, 280992, 115748, 6536, 15}
2,6,{4, 4},{105, 25095, 369180, 851582, 369180, 25095, 105}
2,6,{5, 1},{1, 3506, 83937, 217042, 83937, 3506, 1}
2,6,{5, 2},{15, 12172, 229797, 560942, 229797, 12172, 15}
